i,j,k,nx,ny,nz 
0,0,0,6.188928e-01,-5.204969e-01,-5.882641e-01
0,0,1,7.216405e-01,-2.389866e-01,-6.497079e-01
0,0,2,8.629964e-01,-5.034620e-01,-4.198964e-02
0,0,3,3.308000e-01,-9.295189e-01,1.629909e-01
0,0,4,6.376316e-01,2.982854e-02,-7.697637e-01
0,0,5,4.298513e-01,-4.020301e-01,-8.084551e-01
0,0,6,6.397868e-01,-7.355266e-01,-2.228754e-01
0,0,7,-6.946545e-01,6.917818e-01,1.972131e-01
0,0,8,-7.652306e-01,6.213147e-01,1.684939e-01
0,0,9,7.562327e-01,-4.157049e-01,-5.052737e-01
0,0,10,-5.566750e-01,3.075415e-01,7.717067e-01
0,0,11,-5.828983e-01,7.458033e-01,3.225013e-01
0,0,12,4.364352e-01,-5.829306e-01,-6.853585e-01
0,0,13,-6.971521e-02,6.467777e-01,7.594856e-01
0,0,14,-5.109141e-01,7.396090e-01,4.381155e-01
0,0,15,-4.844923e-01,7.325482e-01,4.781635e-01
0,0,16,6.871971e-01,-6.319464e-01,-3.583348e-01
0,0,17,-5.942176e-01,5.707686e-01,5.666822e-01
0,0,18,9.015152e-01,-4.311693e-01,3.692320e-02
0,0,19,-7.038574e-01,6.108019e-01,3.626373e-01
0,0,20,5.819052e-01,-6.318640e-01,-5.119904e-01
0,0,21,-8.386809e-01,5.209271e-01,1.589001e-01
0,0,22,7.073876e-01,-6.781885e-01,-1.991559e-01
0,0,23,1.132422e-01,-9.403579e-01,3.207854e-01
0,0,24,8.017290e-02,-9.201253e-01,3.833299e-01
0,0,25,-2.979481e-01,9.437127e-01,1.436430e-01
0,0,26,7.870698e-01,-4.692373e-01,-4.004217e-01
0,0,27,-9.421255e-02,-9.044113e-01,-4.161300e-01
0,0,28,8.182854e-01,-2.629229e-01,-5.111561e-01
0,0,29,5.735096e-01,-4.947341e-01,-6.529356e-01
0,0,30,-5.167126e-01,6.355989e-01,5.736044e-01
0,0,31,-5.197269e-01,6.236295e-01,5.839265e-01
0,0,32,3.387104e-03,-6.604832e-01,-7.508332e-01
0,0,33,-5.719597e-01,4.025558e-01,7.147104e-01
0,0,34,-6.514400e-01,-7.081087e-02,7.553885e-01
