i,j,k,nx,ny,nz 
0,0,0,5.410354e-01,-6.208525e-01,-5.672944e-01
0,0,1,-3.895662e-01,6.677905e-01,6.342665e-01
0,0,2,4.172106e-01,-6.746085e-01,-6.089652e-01
0,0,3,7.473453e-01,-3.648497e-01,-5.553015e-01
0,0,4,2.867702e-01,-7.022991e-01,-6.515664e-01
0,0,5,7.062978e-01,-3.970534e-01,-5.860820e-01
0,0,6,5.958190e-01,-4.359910e-01,-6.744713e-01
0,0,7,5.706693e-01,-5.521206e-01,-6.078646e-01
0,0,8,-4.928649e-01,6.029607e-01,6.273138e-01
0,0,9,5.193932e-01,-6.121923e-01,-5.961974e-01
0,0,10,5.047607e-01,-4.715127e-01,-7.231130e-01
0,0,11,6.352833e-01,-5.833718e-01,-5.060558e-01
0,0,12,5.351755e-01,-5.841813e-01,-6.101798e-01
0,0,13,-5.373801e-01,6.108417e-01,5.814595e-01
0,0,14,-5.620720e-01,5.419527e-01,6.247898e-01
0,0,15,4.852759e-01,-5.473987e-01,-6.818078e-01
0,0,16,-6.176972e-01,5.692656e-01,5.425743e-01
0,0,17,-5.513030e-01,5.570586e-01,6.210883e-01
0,0,18,-4.578927e-01,6.019749e-01,6.541869e-01
0,0,19,6.504271e-01,-4.598856e-01,-6.045245e-01
0,0,20,7.792769e-01,-5.135465e-01,-3.591622e-01
0,0,21,-6.049642e-01,7.291075e-01,3.200322e-01
0,0,22,-5.912391e-01,5.518433e-01,5.881371e-01
0,0,23,5.753093e-01,-4.828508e-01,-6.602078e-01
0,0,24,7.191549e-01,-5.306086e-01,-4.486321e-01
0,0,25,5.902095e-01,-5.343815e-01,-6.050531e-01
0,0,26,-4.870675e-01,6.220709e-01,6.130196e-01
0,0,27,6.349984e-01,-6.960262e-01,-3.351484e-01
0,0,28,4.638253e-01,-5.361122e-01,-7.053012e-01
0,0,29,-6.180457e-01,6.260091e-01,4.755336e-01
0,0,30,4.237606e-01,-5.860107e-01,-6.906652e-01
0,0,31,-4.888019e-01,5.919138e-01,6.408672e-01
0,0,32,-6.496907e-01,6.286007e-01,4.275081e-01
0,0,33,5.852798e-01,-3.796780e-01,-7.164441e-01
0,0,34,-4.643038e-01,4.155555e-01,7.821353e-01
0,0,35,5.517088e-01,-4.205524e-01,-7.202452e-01
0,0,36,-8.262271e-01,3.586022e-01,4.344573e-01
0,0,37,5.551443e-01,-4.149172e-01,-7.208734e-01
0,0,38,-3.209972e-01,6.494552e-01,6.893248e-01
0,0,39,-4.814654e-01,5.657198e-01,6.694417e-01
0,1,0,4.020532e-01,-5.967012e-01,-6.944789e-01
0,1,1,5.641282e-01,-5.099340e-01,-6.494049e-01
0,1,2,5.978161e-01,-3.638874e-01,-7.142842e-01
0,1,3,-5.630256e-01,5.982961e-01,5.701263e-01
0,1,4,-6.542362e-01,6.652254e-01,3.597918e-01
0,1,5,4.257099e-01,-7.374981e-01,-5.242782e-01
0,1,6,-6.048935e-01,5.851561e-01,5.400891e-01
0,1,7,6.387258e-01,-6.280548e-01,-4.444957e-01
0,1,8,5.316567e-01,-5.912481e-01,-6.064379e-01
0,1,9,-6.126392e-01,5.547117e-01,5.629993e-01
0,1,10,6.506593e-01,-6.231001e-01,-4.340376e-01
0,1,11,-4.533972e-01,6.994141e-01,5.524951e-01
0,1,12,3.822987e-01,-7.493980e-01,-5.406018e-01
0,1,13,5.025943e-01,-5.358567e-01,-6.784221e-01
0,1,14,4.539058e-01,-5.008619e-01,-7.369578e-01
0,1,15,-5.660353e-01,5.915206e-01,5.742015e-01
0,1,16,-6.659283e-01,3.738122e-01,6.456035e-01
0,1,17,-5.889126e-01,5.206158e-01,6.181757e-01
0,1,18,5.965314e-01,-5.835775e-01,-5.509877e-01
0,1,19,5.347287e-01,-6.147217e-01,-5.798124e-01
0,1,20,7.046861e-01,-5.792195e-01,-4.097832e-01
0,1,21,5.585358e-01,-6.438741e-01,-5.229378e-01
0,1,22,5.603138e-01,-6.026497e-01,-5.682093e-01
0,1,23,5.775598e-01,-4.985854e-01,-6.464033e-01
0,1,24,-5.892858e-01,6.045962e-01,5.359157e-01
0,1,25,5.925789e-01,-6.649945e-01,-4.545686e-01
0,1,26,6.335457e-01,-5.230782e-01,-5.700957e-01
0,1,27,-4.280859e-01,8.053061e-01,4.101519e-01
0,1,28,3.147140e-01,-6.534534e-01,-6.884429e-01
0,1,29,5.333470e-01,-6.746630e-01,-5.102655e-01
0,1,30,5.552300e-01,-6.803498e-01,-4.783763e-01
0,1,31,-5.684253e-01,6.545406e-01,4.984669e-01
0,1,32,6.783592e-01,-6.690455e-01,-3.036559e-01
0,1,33,6.093999e-01,-5.985112e-01,-5.200154e-01
0,1,34,5.512125e-01,-4.960678e-01,-6.708812e-01
0,1,35,6.939719e-01,-4.710259e-01,-5.445526e-01
0,1,36,5.963278e-01,-5.106704e-01,-6.193617e-01
0,1,37,-7.821894e-01,5.108520e-01,3.566650e-01
0,1,38,-6.640753e-01,5.424613e-01,5.145287e-01
0,1,39,-5.089694e-01,5.240664e-01,6.828649e-01
0,2,0,5.511148e-01,-5.056332e-01,-6.637827e-01
0,2,1,-5.548427e-01,5.627722e-01,6.127291e-01
0,2,2,-5.663723e-01,6.112392e-01,5.528192e-01
0,2,3,5.989402e-01,-5.767410e-01,-5.555541e-01
0,2,4,5.280191e-01,-5.930669e-01,-6.078384e-01
0,2,5,-4.835313e-01,4.319613e-01,7.613192e-01
0,2,6,4.322628e-01,-5.814601e-01,-6.892409e-01
0,2,7,-5.551323e-01,6.080983e-01,5.674897e-01
0,2,8,6.502475e-01,-4.971472e-01,-5.744761e-01
0,2,9,-4.383856e-01,6.583720e-01,6.118533e-01
0,2,10,-5.635280e-01,6.128663e-01,5.539233e-01
0,2,11,-5.919352e-01,6.120188e-01,5.244481e-01
0,2,12,-5.956647e-01,5.507282e-01,5.847068e-01
0,2,13,-4.569110e-01,5.362397e-01,7.097037e-01
0,2,14,-6.985290e-01,4.076282e-01,5.881297e-01
0,2,15,-7.235105e-01,4.189149e-01,5.486738e-01
0,2,16,5.907890e-01,-4.877046e-01,-6.427383e-01
0,2,17,5.518704e-01,-6.244839e-01,-5.526834e-01
0,2,18,6.349160e-01,-5.294373e-01,-5.626525e-01
0,2,19,-5.557481e-01,6.957667e-01,4.550305e-01
0,2,20,-6.102182e-01,5.382913e-01,5.812713e-01
0,2,21,5.529479e-01,-6.521726e-01,-5.185745e-01
0,2,22,7.339690e-01,-5.550971e-01,-3.913523e-01
0,2,23,-4.997372e-01,4.813432e-01,7.201190e-01
0,2,24,4.064315e-01,-6.456081e-01,-6.465321e-01
0,2,25,-4.336328e-01,6.816090e-01,5.893826e-01
0,2,26,5.494221e-01,-5.929488e-01,-5.886825e-01
0,2,27,5.750035e-01,-5.594287e-01,-5.970012e-01
0,2,28,-6.775415e-01,4.560222e-01,5.770452e-01
0,2,29,-5.979923e-01,5.496631e-01,5.833315e-01
0,2,30,5.594980e-01,-6.489943e-01,-5.155273e-01
0,2,31,5.062060e-01,-6.677312e-01,-5.457934e-01
0,2,32,-5.704456e-01,6.942849e-01,4.388169e-01
0,2,33,4.976184e-01,-5.205645e-01,-6.938217e-01
0,2,34,-6.052603e-01,5.851963e-01,5.396343e-01
0,2,35,-6.758518e-01,5.775261e-01,4.579170e-01
0,2,36,-6.151683e-01,3.407487e-01,7.109559e-01
0,2,37,-5.150528e-01,5.394610e-01,6.661100e-01
0,2,38,6.868783e-01,-4.953796e-01,-5.317868e-01
0,2,39,5.326183e-01,-6.786537e-01,-5.057143e-01
0,3,0,-5.140155e-01,6.429967e-01,5.677529e-01
0,3,1,-3.938959e-01,5.900416e-01,7.047673e-01
0,3,2,-5.548111e-01,5.299218e-01,6.413794e-01
0,3,3,-6.020317e-01,6.593657e-01,4.503274e-01
0,3,4,-5.747491e-01,5.922674e-01,5.646971e-01
0,3,5,6.274341e-01,-6.035011e-01,-4.920496e-01
0,3,6,-5.212351e-01,5.385844e-01,6.619976e-01
0,3,7,-6.206559e-01,6.394416e-01,4.537628e-01
0,3,8,-6.715011e-01,6.160058e-01,4.118534e-01
0,3,9,-4.778708e-01,7.071593e-01,5.211193e-01
0,3,10,5.555167e-01,-6.226859e-01,-5.510567e-01
0,3,11,7.793884e-01,-3.683402e-01,-5.068326e-01
0,3,12,-7.436348e-01,5.674610e-01,3.535468e-01
0,3,13,7.340245e-01,-5.842364e-01,-3.462309e-01
0,3,14,8.055261e-01,-5.514911e-01,-2.167607e-01
0,3,15,6.729226e-01,-5.526362e-01,-4.916995e-01
0,3,16,-6.666840e-01,4.602622e-01,5.862519e-01
0,3,17,-5.811262e-01,5.733097e-01,5.775883e-01
0,3,18,-4.795923e-01,6.032152e-01,6.372776e-01
